X1,X2,X3,X4,X5,X6,X7,X8,Y1
0.98,514.5,294.0,110.25,7.0,2,0.0,0,moyen
0.98,514.5,294.0,110.25,7.0,3,0.0,0,moyen
0.98,514.5,294.0,110.25,7.0,4,0.0,0,moyen
0.98,514.5,294.0,110.25,7.0,5,0.0,0,moyen
0.9,563.5,318.5,122.5,7.0,2,0.0,0,moyen
0.9,563.5,318.5,122.5,7.0,3,0.0,0,moyen
0.9,563.5,318.5,122.5,7.0,4,0.0,0,moyen
0.9,563.5,318.5,122.5,7.0,5,0.0,0,moyen
0.86,588.0,294.0,147.0,7.0,2,0.0,0,moyen
0.86,588.0,294.0,147.0,7.0,3,0.0,0,moyen
0.86,588.0,294.0,147.0,7.0,4,0.0,0,moyen
0.86,588.0,294.0,147.0,7.0,5,0.0,0,moyen
0.82,612.5,318.5,147.0,7.0,2,0.0,0,moyen
0.82,612.5,318.5,147.0,7.0,3,0.0,0,moyen
0.82,612.5,318.5,147.0,7.0,4,0.0,0,moyen
0.82,612.5,318.5,147.0,7.0,5,0.0,0,moyen
0.79,637.0,343.0,147.0,7.0,2,0.0,0,moyen
0.79,637.0,343.0,147.0,7.0,3,0.0,0,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,4,0.0,0,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,5,0.0,0,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,2,0.0,0,moyen
0.76,661.5,416.5,122.5,7.0,3,0.0,0,moyen
0.76,661.5,416.5,122.5,7.0,4,0.0,0,moyen
0.76,661.5,416.5,122.5,7.0,5,0.0,0,moyen
0.74,686.0,245.0,220.5,3.5,2,0.0,0,faible
0.74,686.0,245.0,220.5,3.5,3,0.0,0,faible
0.74,686.0,245.0,220.5,3.5,4,0.0,0,faible
0.74,686.0,245.0,220.5,3.5,5,0.0,0,faible
0.71,710.5,269.5,220.5,3.5,2,0.0,0,faible
0.71,710.5,269.5,220.5,3.5,3,0.0,0,faible
0.71,710.5,269.5,220.5,3.5,4,0.0,0,faible
0.71,710.5,269.5,220.5,3.5,5,0.0,0,faible
0.69,735.0,294.0,220.5,3.5,2,0.0,0,faible
0.69,735.0,294.0,220.5,3.5,3,0.0,0,faible
0.69,735.0,294.0,220.5,3.5,4,0.0,0,faible
0.69,735.0,294.0,220.5,3.5,5,0.0,0,faible
0.66,759.5,318.5,220.5,3.5,2,0.0,0,faible
0.66,759.5,318.5,220.5,3.5,3,0.0,0,faible
0.66,759.5,318.5,220.5,3.5,4,0.0,0,faible
0.66,759.5,318.5,220.5,3.5,5,0.0,0,faible
0.64,784.0,343.0,220.5,3.5,2,0.0,0,faible
0.64,784.0,343.0,220.5,3.5,3,0.0,0,faible
0.64,784.0,343.0,220.5,3.5,4,0.0,0,faible
0.64,784.0,343.0,220.5,3.5,5,0.0,0,faible
0.62,808.5,367.5,220.5,3.5,2,0.0,0,faible
0.62,808.5,367.5,220.5,3.5,3,0.0,0,faible
0.62,808.5,367.5,220.5,3.5,4,0.0,0,faible
0.62,808.5,367.5,220.5,3.5,5,0.0,0,faible
0.98,514.5,294.0,110.25,7.0,2,0.1,1,moyen
0.98,514.5,294.0,110.25,7.0,3,0.1,1,moyen
0.98,514.5,294.0,110.25,7.0,4,0.1,1,moyen
0.98,514.5,294.0,110.25,7.0,5,0.1,1,moyen
0.9,563.5,318.5,122.5,7.0,2,0.1,1,ÃĐlevÃĐ
0.9,563.5,318.5,122.5,7.0,3,0.1,1,ÃĐlevÃĐ
0.9,563.5,318.5,122.5,7.0,4,0.1,1,ÃĐlevÃĐ
0.9,563.5,318.5,122.5,7.0,5,0.1,1,moyen
0.86,588.0,294.0,147.0,7.0,2,0.1,1,moyen
0.86,588.0,294.0,147.0,7.0,3,0.1,1,moyen
0.86,588.0,294.0,147.0,7.0,4,0.1,1,moyen
0.86,588.0,294.0,147.0,7.0,5,0.1,1,moyen
0.82,612.5,318.5,147.0,7.0,2,0.1,1,moyen
0.82,612.5,318.5,147.0,7.0,3,0.1,1,moyen
0.82,612.5,318.5,147.0,7.0,4,0.1,1,moyen
0.82,612.5,318.5,147.0,7.0,5,0.1,1,moyen
0.79,637.0,343.0,147.0,7.0,2,0.1,1,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,3,0.1,1,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,4,0.1,1,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,5,0.1,1,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,2,0.1,1,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,3,0.1,1,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,4,0.1,1,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,5,0.1,1,ÃĐlevÃĐ
0.74,686.0,245.0,220.5,3.5,2,0.1,1,faible
0.74,686.0,245.0,220.5,3.5,3,0.1,1,faible
0.74,686.0,245.0,220.5,3.5,4,0.1,1,faible
0.74,686.0,245.0,220.5,3.5,5,0.1,1,faible
0.71,710.5,269.5,220.5,3.5,2,0.1,1,faible
0.71,710.5,269.5,220.5,3.5,3,0.1,1,faible
0.71,710.5,269.5,220.5,3.5,4,0.1,1,faible
0.71,710.5,269.5,220.5,3.5,5,0.1,1,faible
0.69,735.0,294.0,220.5,3.5,2,0.1,1,faible
0.69,735.0,294.0,220.5,3.5,3,0.1,1,faible
0.69,735.0,294.0,220.5,3.5,4,0.1,1,faible
0.69,735.0,294.0,220.5,3.5,5,0.1,1,faible
0.66,759.5,318.5,220.5,3.5,2,0.1,1,faible
0.66,759.5,318.5,220.5,3.5,3,0.1,1,faible
0.66,759.5,318.5,220.5,3.5,4,0.1,1,faible
0.66,759.5,318.5,220.5,3.5,5,0.1,1,faible
0.64,784.0,343.0,220.5,3.5,2,0.1,1,moyen
0.64,784.0,343.0,220.5,3.5,3,0.1,1,moyen
0.64,784.0,343.0,220.5,3.5,4,0.1,1,moyen
0.64,784.0,343.0,220.5,3.5,5,0.1,1,moyen
0.62,808.5,367.5,220.5,3.5,2,0.1,1,faible
0.62,808.5,367.5,220.5,3.5,3,0.1,1,faible
0.62,808.5,367.5,220.5,3.5,4,0.1,1,faible
0.62,808.5,367.5,220.5,3.5,5,0.1,1,faible
0.98,514.5,294.0,110.25,7.0,2,0.1,2,moyen
0.98,514.5,294.0,110.25,7.0,3,0.1,2,moyen
0.98,514.5,294.0,110.25,7.0,4,0.1,2,moyen
0.98,514.5,294.0,110.25,7.0,5,0.1,2,moyen
0.9,563.5,318.5,122.5,7.0,2,0.1,2,ÃĐlevÃĐ
0.9,563.5,318.5,122.5,7.0,3,0.1,2,ÃĐlevÃĐ
0.9,563.5,318.5,122.5,7.0,4,0.1,2,ÃĐlevÃĐ
0.9,563.5,318.5,122.5,7.0,5,0.1,2,moyen
0.86,588.0,294.0,147.0,7.0,2,0.1,2,moyen
0.86,588.0,294.0,147.0,7.0,3,0.1,2,moyen
0.86,588.0,294.0,147.0,7.0,4,0.1,2,moyen
0.86,588.0,294.0,147.0,7.0,5,0.1,2,moyen
0.82,612.5,318.5,147.0,7.0,2,0.1,2,moyen
0.82,612.5,318.5,147.0,7.0,3,0.1,2,moyen
0.82,612.5,318.5,147.0,7.0,4,0.1,2,moyen
0.82,612.5,318.5,147.0,7.0,5,0.1,2,moyen
0.79,637.0,343.0,147.0,7.0,2,0.1,2,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,3,0.1,2,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,4,0.1,2,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,5,0.1,2,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,2,0.1,2,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,3,0.1,2,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,4,0.1,2,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,5,0.1,2,ÃĐlevÃĐ
0.74,686.0,245.0,220.5,3.5,2,0.1,2,faible
0.74,686.0,245.0,220.5,3.5,3,0.1,2,faible
0.74,686.0,245.0,220.5,3.5,4,0.1,2,faible
0.74,686.0,245.0,220.5,3.5,5,0.1,2,faible
0.71,710.5,269.5,220.5,3.5,2,0.1,2,faible
0.71,710.5,269.5,220.5,3.5,3,0.1,2,faible
0.71,710.5,269.5,220.5,3.5,4,0.1,2,faible
0.71,710.5,269.5,220.5,3.5,5,0.1,2,faible
0.69,735.0,294.0,220.5,3.5,2,0.1,2,faible
0.69,735.0,294.0,220.5,3.5,3,0.1,2,faible
0.69,735.0,294.0,220.5,3.5,4,0.1,2,faible
0.69,735.0,294.0,220.5,3.5,5,0.1,2,faible
0.66,759.5,318.5,220.5,3.5,2,0.1,2,faible
0.66,759.5,318.5,220.5,3.5,3,0.1,2,faible
0.66,759.5,318.5,220.5,3.5,4,0.1,2,faible
0.66,759.5,318.5,220.5,3.5,5,0.1,2,faible
0.64,784.0,343.0,220.5,3.5,2,0.1,2,moyen
0.64,784.0,343.0,220.5,3.5,3,0.1,2,moyen
0.64,784.0,343.0,220.5,3.5,4,0.1,2,moyen
0.64,784.0,343.0,220.5,3.5,5,0.1,2,moyen
0.62,808.5,367.5,220.5,3.5,2,0.1,2,faible
0.62,808.5,367.5,220.5,3.5,3,0.1,2,faible
0.62,808.5,367.5,220.5,3.5,4,0.1,2,faible
0.62,808.5,367.5,220.5,3.5,5,0.1,2,faible
0.98,514.5,294.0,110.25,7.0,2,0.1,3,moyen
0.98,514.5,294.0,110.25,7.0,3,0.1,3,moyen
0.98,514.5,294.0,110.25,7.0,4,0.1,3,moyen
0.98,514.5,294.0,110.25,7.0,5,0.1,3,moyen
0.9,563.5,318.5,122.5,7.0,2,0.1,3,moyen
0.9,563.5,318.5,122.5,7.0,3,0.1,3,ÃĐlevÃĐ
0.9,563.5,318.5,122.5,7.0,4,0.1,3,ÃĐlevÃĐ
0.9,563.5,318.5,122.5,7.0,5,0.1,3,ÃĐlevÃĐ
0.86,588.0,294.0,147.0,7.0,2,0.1,3,moyen
0.86,588.0,294.0,147.0,7.0,3,0.1,3,moyen
0.86,588.0,294.0,147.0,7.0,4,0.1,3,moyen
0.86,588.0,294.0,147.0,7.0,5,0.1,3,moyen
0.82,612.5,318.5,147.0,7.0,2,0.1,3,moyen
0.82,612.5,318.5,147.0,7.0,3,0.1,3,moyen
0.82,612.5,318.5,147.0,7.0,4,0.1,3,moyen
0.82,612.5,318.5,147.0,7.0,5,0.1,3,moyen
0.79,637.0,343.0,147.0,7.0,2,0.1,3,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,3,0.1,3,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,4,0.1,3,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,5,0.1,3,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,2,0.1,3,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,3,0.1,3,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,4,0.1,3,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,5,0.1,3,ÃĐlevÃĐ
0.74,686.0,245.0,220.5,3.5,2,0.1,3,faible
0.74,686.0,245.0,220.5,3.5,3,0.1,3,faible
0.74,686.0,245.0,220.5,3.5,4,0.1,3,faible
0.74,686.0,245.0,220.5,3.5,5,0.1,3,faible
0.71,710.5,269.5,220.5,3.5,2,0.1,3,faible
0.71,710.5,269.5,220.5,3.5,3,0.1,3,faible
0.71,710.5,269.5,220.5,3.5,4,0.1,3,faible
0.71,710.5,269.5,220.5,3.5,5,0.1,3,faible
0.69,735.0,294.0,220.5,3.5,2,0.1,3,faible
0.69,735.0,294.0,220.5,3.5,3,0.1,3,faible
0.69,735.0,294.0,220.5,3.5,4,0.1,3,faible
0.69,735.0,294.0,220.5,3.5,5,0.1,3,faible
0.66,759.5,318.5,220.5,3.5,2,0.1,3,faible
0.66,759.5,318.5,220.5,3.5,3,0.1,3,faible
0.66,759.5,318.5,220.5,3.5,4,0.1,3,faible
0.66,759.5,318.5,220.5,3.5,5,0.1,3,faible
0.64,784.0,343.0,220.5,3.5,2,0.1,3,moyen
0.64,784.0,343.0,220.5,3.5,3,0.1,3,moyen
0.64,784.0,343.0,220.5,3.5,4,0.1,3,moyen
0.64,784.0,343.0,220.5,3.5,5,0.1,3,moyen
0.62,808.5,367.5,220.5,3.5,2,0.1,3,faible
0.62,808.5,367.5,220.5,3.5,3,0.1,3,faible
0.62,808.5,367.5,220.5,3.5,4,0.1,3,faible
0.62,808.5,367.5,220.5,3.5,5,0.1,3,faible
0.98,514.5,294.0,110.25,7.0,2,0.1,4,moyen
0.98,514.5,294.0,110.25,7.0,3,0.1,4,moyen
0.98,514.5,294.0,110.25,7.0,4,0.1,4,moyen
0.98,514.5,294.0,110.25,7.0,5,0.1,4,moyen
0.9,563.5,318.5,122.5,7.0,2,0.1,4,ÃĐlevÃĐ
0.9,563.5,318.5,122.5,7.0,3,0.1,4,moyen
0.9,563.5,318.5,122.5,7.0,4,0.1,4,ÃĐlevÃĐ
0.9,563.5,318.5,122.5,7.0,5,0.1,4,ÃĐlevÃĐ
0.86,588.0,294.0,147.0,7.0,2,0.1,4,moyen
0.86,588.0,294.0,147.0,7.0,3,0.1,4,moyen
0.86,588.0,294.0,147.0,7.0,4,0.1,4,moyen
0.86,588.0,294.0,147.0,7.0,5,0.1,4,moyen
0.82,612.5,318.5,147.0,7.0,2,0.1,4,moyen
0.82,612.5,318.5,147.0,7.0,3,0.1,4,moyen
0.82,612.5,318.5,147.0,7.0,4,0.1,4,moyen
0.82,612.5,318.5,147.0,7.0,5,0.1,4,moyen
0.79,637.0,343.0,147.0,7.0,2,0.1,4,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,3,0.1,4,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,4,0.1,4,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,5,0.1,4,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,2,0.1,4,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,3,0.1,4,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,4,0.1,4,ÃĐlevÃĐ
0.76,661.5,416.5,122.5,7.0,5,0.1,4,ÃĐlevÃĐ
0.74,686.0,245.0,220.5,3.5,2,0.1,4,faible
0.74,686.0,245.0,220.5,3.5,3,0.1,4,faible
0.74,686.0,245.0,220.5,3.5,4,0.1,4,faible
0.74,686.0,245.0,220.5,3.5,5,0.1,4,faible
0.71,710.5,269.5,220.5,3.5,2,0.1,4,faible
0.71,710.5,269.5,220.5,3.5,3,0.1,4,faible
0.71,710.5,269.5,220.5,3.5,4,0.1,4,faible
0.71,710.5,269.5,220.5,3.5,5,0.1,4,faible
0.69,735.0,294.0,220.5,3.5,2,0.1,4,faible
0.69,735.0,294.0,220.5,3.5,3,0.1,4,faible
0.69,735.0,294.0,220.5,3.5,4,0.1,4,faible
0.69,735.0,294.0,220.5,3.5,5,0.1,4,faible
0.66,759.5,318.5,220.5,3.5,2,0.1,4,faible
0.66,759.5,318.5,220.5,3.5,3,0.1,4,faible
0.66,759.5,318.5,220.5,3.5,4,0.1,4,faible
0.66,759.5,318.5,220.5,3.5,5,0.1,4,faible
0.64,784.0,343.0,220.5,3.5,2,0.1,4,moyen
0.64,784.0,343.0,220.5,3.5,3,0.1,4,moyen
0.64,784.0,343.0,220.5,3.5,4,0.1,4,moyen
0.64,784.0,343.0,220.5,3.5,5,0.1,4,moyen
0.62,808.5,367.5,220.5,3.5,2,0.1,4,faible
0.62,808.5,367.5,220.5,3.5,3,0.1,4,faible
0.62,808.5,367.5,220.5,3.5,4,0.1,4,faible
0.62,808.5,367.5,220.5,3.5,5,0.1,4,faible
0.98,514.5,294.0,110.25,7.0,2,0.1,5,moyen
0.98,514.5,294.0,110.25,7.0,3,0.1,5,moyen
0.98,514.5,294.0,110.25,7.0,4,0.1,5,moyen
0.98,514.5,294.0,110.25,7.0,5,0.1,5,moyen
0.9,563.5,318.5,122.5,7.0,2,0.1,5,ÃĐlevÃĐ
0.9,563.5,318.5,122.5,7.0,3,0.1,5,ÃĐlevÃĐ
0.9,563.5,318.5,122.5,7.0,4,0.1,5,moyen
0.9,563.5,318.5,122.5,7.0,5,0.1,5,ÃĐlevÃĐ
0.86,588.0,294.0,147.0,7.0,2,0.1,5,moyen
0.86,588.0,294.0,147.0,7.0,3,0.1,5,moyen
0.86,588.0,294.0,147.0,7.0,4,0.1,5,moyen
0.86,588.0,294.0,147.0,7.0,5,0.1,5,moyen
0.82,612.5,318.5,147.0,7.0,2,0.1,5,moyen
0.82,612.5,318.5,147.0,7.0,3,0.1,5,moyen
0.82,612.5,318.5,147.0,7.0,4,0.1,5,moyen
0.82,612.5,318.5,147.0,7.0,5,0.1,5,moyen
0.79,637.0,343.0,147.0,7.0,2,0.1,5,ÃĐlevÃĐ
0.79,637.0,343.0,147.0,7.0,3,0.1,5,ÃĐlevÃĐ
